route_id,stop_id,stop_name,stop_lat,stop_lon
67,22521,Jain Bekhunth Mandir,28.812078,77.054057
67,755,Delhi Jal Board Bawana,28.815521,77.058038
67,2852,Sannoth Crossing / Ghoga Crossing,28.819901,77.063707
67,2853,Kaushal Devi Netraheen Ashram,28.825515,77.069757
67,2854,Bharat Mata School,28.832922,77.076468
67,2855,Maharaja Agrassen School,28.835746,77.079296
67,2856,New Anaj Mandi Xing,28.842683,77.088691
67,270,Old Anaj Mandi,28.845328,77.088967
67,271,Narela Primary School,28.847045,77.088366
67,0,Narela Terminal,28.851958,77.088107
67,1,Police Station Narela,28.853311,77.088548
67,3102,Safiyabad Crossing,28.85513,77.08893
67,3103,Sanjay Colony (Safiabad),28.863,77.08554
67,3104,Safiabad Border,28.871125,77.081181
8,1742,New Seema Puri Depot Cluster,28.684794,77.331346
8,1744,Shalimar Garden More,28.688212,77.330289
8,1745,DLF More,28.692877,77.32719
8,1746,Tahir Pur,28.691367,77.324967
8,1747,Anand Gram,28.688813,77.321994
8,1748,Anand Gram Kusht Ashram,28.688673,77.319121
8,1749,Sunder Nagri,28.692844,77.315743
8,1750,Gagan Cinema,28.695745,77.315146
8,1751,Gagan Cinema (Wazirabad Road),28.697499,77.314785
8,1752,Bank Colony,28.698102,77.311463
8,1753,Nand Nagri Depot,28.698972,77.306183
8,1754,Ashok Nagar / Meet Nagar,28.700066,77.297896
8,1755,MIG Flates Loni Road,28.700502,77.295585
8,1756,MIG Flats Loni Road,28.699263,77.291784
8,1757,PS Jyoti Nagar / LIG Flats Loni Road,28.696189,77.291843
8,1758,Jyoti Nagar,28.691428,77.292048
8,1759,Jyoti Nagar / Durga Puri,28.68922,77.291307
8,1760,Chhajjupur,28.6894,77.287
8,1761,Shiv Mandir,28.6898,77.283783
8,3331,Babarpur Ext Maujpur Crossing,28.6891259,77.27805789
8,3332,Zafrabad School,28.683533,77.27525
8,3333,Madarsa / Welcome Seelam Pur,28.680583,77.273917
8,3334,Zafrabad,28.676269,77.271694
8,3335,Seelampur Market Zafrabad Road,28.67340339,77.27018843
8,781,Seelampur Metro Station,28.670722,77.266485
8,782,Dharam Pura,28.670717,77.261917
8,783,Shastri Park,28.6723,77.2571
8,784,Shastri Park,28.673195,77.251804
8,785,Shyam Giri Mandir,28.67382,77.248024
8,786,Shastri Park DMRC Depot,28.674167,77.243433
8,787,Shastri Park Metro Depot,28.673433,77.241183
8,788,ISBT Bridge,28.6692301,77.228774
8,300,ISBT Nityanand Marg,28.668479,77.226269
8,669,Tees Hazari Court,28.666662,77.21926
8,670,St Stephen Hospital,28.6671,77.2149
8,671,Ice Factory (Rani Jhansi Road),28.666336,77.208872
8,789,Azad Market,28.6627,77.2075
8,790,Bara Hindu Rao,28.660752,77.204049
8,791,Model Basti,28.657229,77.203685
8,792,Guru Govind Singh Marg,28.655331,77.198831
8,793,Tibiya College,28.65754,77.194648
8,794,Ram Jas Road,28.659086,77.191154
8,795,Liberty Cinema,28.659825,77.188866
8,796,Sarai Rohilla Govt Qtrs (Rohtak Road),28.661182,77.185019
8,797,Sarai Rohila (Rohtak Road),28.662538,77.182083
8,2727,Sarai Rohilla Flyover,28.667017,77.181867
8,681,Shastri Nagar Metro Station,28.669997,77.181336
8,682,Shastri Nagar E Block,28.6711,77.17605
8,683,Shastri Nagar Shiv Mandir,28.6716,77.173
8,684,Inderlok Metro Station,28.673633,77.168983
8,2835,Inderlok Metro Station,28.673217,77.169483
189,2597,Jonti Border,28.757118,76.945694
189,2598,Jonti Village,28.74925387,76.96877493
189,2599,Jonti Crossing,28.745907,76.978056
189,2600,Vriddha Ashram,28.744583,76.98095
189,2601,Sant Vivekanand School,28.7423,76.986717
189,2602,Rajendra Lakra Public School,28.740383,76.994583
189,2603,Ladpur Village,28.739603,76.997508
189,2604,Nirmal Hospital,28.73865,77.004467
189,1159,Kanjhawala Chowk,28.73747,77.00814
189,1160,Shivam Plywood,28.73544,77.01226
189,1161,Radha Swami Satsang / Rupali Enclave,28.733977,77.020936
189,1162,Shiv vihar/Bheem chowk,28.73345,77.02515
189,22530,Desu Office Karala,28.732641,77.028591
189,973,Karala Crossing,28.731617,77.03235
189,974,Karala Village,28.731583,77.036983
189,22531,Karala School,28.7308,77.0398
189,22532,Rohini Sec 37 eBus Depot,28.74793072,77.05222177
189,22533,Rohini Sec 36,28.744796,77.067859
189,22534,Pansali Dham Rohini,28.740899,77.076594
